Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
10,195.98791696215739,48.487378570113165,4.726885289921477,-0.35078653313397784,0.007000000000000006,0.006199999999999983,0.0078,757.3333333333333,0.00023952247331972794,0.00023952247331972794,0.00023952247331972794,10_12:0.007632382412462113; 10_7:0.01113695807626025,10_12:704; 10_7:355.55555555555554
11,209.24407645668296,132.7627432249855,5.055170136383703,-0.342154207079285,0.006399999999999961,0.008199999999999985,0.0046,757.3333333333333,0.00020349773460772425,0.00020349773460772425,0.00020349773460772425,11_8:0.006532846090100852; 11_14:0.005628452997283817,11_8:405.3333333333333; 11_14:369.77777777777777
12,168.48587173910104,209.2579925252711,4.889586075518711,-0.3447958828986905,0.009099999999999997,0.011,0.007199999999999984,757.3333333333333,0.00016331247746342883,0.00016331247746342883,0.00016331247746342883,12_13:0.005754423727459601; 12_10:0.007632382412462113; 12_15:1,12_13:384; 12_10:739.5555555555555; 12_15:590.2222222222222
13,16.465049944801766,16.705982214025166,5.016781382547104,-0.3436576087432835,0.006399999999999961,0.0078,0.0050000000000000044,757.3333333333333,0.0003069782431366365,0.0003069782431366365,0.0003069782431366365,13_12:0.005754423727459601; 13_14:0.008737687026706964,13_12:348.4444444444444; 13_14:430.2222222222222
14,125.29328749339976,203.78444211398232,5.1669847417420005,-0.34196109231485483,0.010499999999999954,0.01200000000000001,0.009,757.3333333333333,0.0002509647726749502,0.0002509647726749502,0.0002509647726749502,14_16:0.00570759113968522; 14_11:0.005628452997283817; 14_13:0.008737687026706964,14_16:355.55555555555554; 14_11:334.22222222222223; 14_13:359.1111111111111
15,70.02070188259974,74.6786761122677,4.988058394022636,-0.34274129182322893,0.31120000000000003,0.589,0.0334,757.3333333333333,0.11304641317423951,0.11304641317423951,0.11304641317423951,15_18:1; 15_12:1,15_18:654.2222222222222; 15_12:554.6666666666666
16,173.80773246799924,260.14229591781077,4.969588458806571,-0.34388934522708653,0.009100000000000108,0.0106,0.007600000000000051,757.3333333333333,0.00019615157857844173,0.00019615157857844173,0.00019615157857844173,16_14:0.00570759113968522; 16_19:0.01165438223012047,16_14:391.1111111111111; 16_19:711.1111111111111
17,203.72359583838886,167.42782722800135,5.0253860954755005,-0.3434873180663213,0.009099999999999997,0.011399999999999966,0.0068,757.3333333333333,0.0002685615278696457,0.0002685615278696457,0.0002685615278696457,17_18:0.007747121127223866,17_18:440.88888888888886
18,119.78036913437714,114.66620056126916,4.788045061340289,-0.3489158908848207,0.01429999999999998,0.019000000000000017,0.0096,757.3333333333333,0.00017619898518999837,0.00017619898518999837,0.00017619898518999837,18_17:0.007747121127223866; 18_21:0.007869424277780396; 18_15:1,18_17:476.4444444444444; 18_21:391.1111111111111; 18_15:618.6666666666666
19,242.65970823727096,24.406665358539513,4.806262926417327,-0.34669459150512166,0.011299999999999977,0.015599999999999947,0.007,757.3333333333333,0.001388470945800088,0.001388470945800088,0.001388470945800088,19_22:0.03996156320852248; 19_16:0.01165438223012047; 19_20:0.06716749946102799,19_22:590.2222222222222; 19_16:746.6666666666666; 19_20:398.2222222222222
20,118.762932398156,172.39777565990278,4.691902886308363,-0.34938496908135164,0.01750000000000007,0.024,0.01100000000000001,757.3333333333333,0.0010797739138701044,0.0010797739138701044,0.0010797739138701044,20_19:0.06716749946102799,20_19:433.77777777777777
21,49.569782156890476,64.48768918706328,5.046307001615802,-0.34178147944283405,0.009600000000000053,0.008600000000000052,0.0106,757.3333333333333,0.00031557902991787983,0.00031557902991787983,0.00031557902991787983,21_23:0.010967805099267675; 21_18:0.007869424277780396,21_23:540.4444444444445; 21_18:355.55555555555554
22,57.04850595219811,36.10177663953231,4.9683295643564165,-0.3440846200766438,0.007900000000000018,0.010000000000000009,0.0058,757.3333333333333,0.0008691820410337369,0.0008691820410337369,0.0008691820410337369,22_19:0.03996156320852248; 22_25:0.012620533511351728,22_19:554.6666666666666; 22_25:426.66666666666663
23,164.71407167634632,43.58225519988937,4.86791935573005,-0.3447053176403033,0.03180000000000005,0.019199999999999995,0.0444,757.3333333333333,0.00024100019659802516,0.00024100019659802516,0.00024100019659802516,23_24:0.00733080938157038; 23_21:0.010967805099267675,23_24:476.4444444444444; 23_21:576
24,137.9916853146795,34.25759295554509,4.956016117328677,-0.3429031730071226,0.18920000000000003,0.0284,0.35,757.3333333333333,0.0002352518816452034,0.0002352518816452034,0.0002352518816452034,24_23:0.00733080938157038; 24_25:1,24_23:512; 24_25:540.4444444444445
25,99.19229087601329,114.71894012130721,5.076991482664152,-0.34257236710458094,0.015199999999999991,0.017,0.013399999999999967,757.3333333333333,0.00017438804229965337,0.00017438804229965337,0.00017438804229965337,25_22:0.012620533511351728; 25_26:0.005705659587231571; 25_24:1,25_22:462.2222222222222; 25_26:348.4444444444444; 25_24:576
26,95.94723178440107,22.41464519985606,4.85586685789843,-0.34516475025597615,0.007299999999999973,0.0104,0.0041999999999999815,757.3333333333333,0.00032467469177452547,0.00032467469177452547,0.00032467469177452547,26_25:0.005705659587231571,26_25:384
